Fund Name,Sch Code1,Sch Code2,Sch Code3,Sch Code4,Sch Code5,Sch Code6,Sch Code7,Sch Code8,Sch Code9,Sch Code10,Sch Code11,Sch Code12,Sch Code13,Sch Code14
ICICI Prudential Mutual Fund,,,,,,,,,,,,,,
Kotak Mahindra Mutual Fund,,,,,,,,,,,,,,
L&T Mutual Fund,,,,,,,,,,,,,,
Axis Mutual Fund,,,,,,,,,,,,,,
Principal Mutual Fund,,,,,,,,,,,,,,
Sundaram Mutual Fund,,,,,,,,,,,,,,
Aditya Birla Sun Life Mutual Fund,,,,,,,,,,,,,,
Edelweiss Mutual Fund,,,,,,,,,,,,,,
