SYMBOL,NAMEOFCOMPANY,ASSET_TYPE,ISINNUMBER,ASSET_RANK
PEL.NS,Piramal Enterprises Ltd.,EQ,INE140A01024,500
PPLPHARMA.NS,Piramal Pharma Ltd.,EQ,INE0DK501011,500
POLYMED.NS,Poly Medicure Ltd.,EQ,INE205C01021,500
POLYCAB.NS,Polycab India Ltd.,EQ,INE455K01017,500
POONAWALLA.NS,Poonawalla Fincorp Ltd.,EQ,INE511C01022,500
PFC.NS,Power Finance Corporation Ltd.,EQ,INE134E01011,100
POWERGRID.NS,Power Grid Corporation of India Ltd.,EQ,INE752E01010,50
PRAJIND.NS,Praj Industries Ltd.,EQ,INE074A01025,500
PREMIERENE.NS,Premier Energies Ltd.,EQ,INE0BS701011,500
PRESTIGE.NS,Prestige Estates Projects Ltd.,EQ,INE811K01011,500
PNB.NS,Punjab National Bank,EQ,INE160A01022,100
RRKABEL.NS,R R Kabel Ltd.,EQ,INE777K01022,500
RBLBANK.NS,RBL Bank Ltd.,EQ,INE976G01028,500
RECLTD.NS,REC Ltd.,EQ,INE020B01018,100
RHIM.NS,RHI MAGNESITA INDIA LTD.,EQ,INE743M01012,500
RITES.NS,RITES Ltd.,EQ,INE320J01015,500
RADICO.NS,Radico Khaitan Ltd,EQ,INE944F01028,500
RVNL.NS,Rail Vikas Nigam Ltd.,EQ,INE415G01027,500
RAILTEL.NS,Railtel Corporation Of India Ltd.,EQ,INE0DD101019,500
RAINBOW.NS,Rainbow Childrens Medicare Ltd.,EQ,INE961O01016,500
RKFORGE.NS,Ramkrishna Forgings Ltd.,EQ,INE399G01023,500
RCF.NS,Rashtriya Chemicals & Fertilizers Ltd.,EQ,INE027A01015,500
RTNINDIA.NS,RattanIndia Enterprises Ltd.,EQ,INE834M01019,500
RAYMONDLSL.NS,Raymond Lifestyle Ltd.,EQ,INE02ID01020,500
RAYMOND.NS,Raymond Ltd.,EQ,INE301A01014,500
REDINGTON.NS,Redington Ltd.,EQ,INE891D01026,500
RELIANCE.NS,Reliance Industries Ltd.,EQ,INE002A01018,50
RPOWER.NS,Reliance Power Ltd.,EQ,INE614G01033,500
ROUTE.NS,Route Mobile Ltd.,EQ,INE450U01017,500
SBFC.NS,SBFC Finance Ltd.,EQ,INE423Y01016,500
SBICARD.NS,SBI Cards and Payment Services Ltd.,EQ,INE018E01016,500
SBILIFE.NS,SBI Life Insurance Company Ltd.,EQ,INE123W01016,50
SJVN.NS,SJVN Ltd.,EQ,INE002L01015,500
SKFINDIA.NS,SKF India Ltd.,EQ,INE640A01023,500
SRF.NS,SRF Ltd.,EQ,INE647A01010,500
SAGILITY.NS,Sagility India Ltd.,EQ,INE0W2G01015,500
SAILIFE.NS,Sai Life Sciences Ltd.,EQ,INE570L01029,500
SAMMAANCAP.NS,Sammaan Capital Ltd.,EQ,INE148I01020,500
MOTHERSON.NS,Samvardhana Motherson International Ltd.,EQ,INE775A01035,100
SAPPHIRE.NS,Sapphire Foods India Ltd.,EQ,INE806T01020,500
SARDAEN.NS,Sarda Energy and Minerals Ltd.,EQ,INE385C01021,500
SAREGAMA.NS,Saregama India Ltd,EQ,INE979A01025,500
SCHAEFFLER.NS,Schaeffler India Ltd.,EQ,INE513A01022,500
SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,EQ,INE839M01018,500
SCI.NS,Shipping Corporation of India Ltd.,EQ,INE109A01011,500
SHREECEM.NS,Shree Cement Ltd.,EQ,INE070A01015,100
RENUKA.NS,Shree Renuka Sugars Ltd.,EQ,INE087H01022,500
SHRIRAMFIN.NS,Shriram Finance Ltd.,EQ,INE721A01047,50
SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,EQ,INE810G01011,500
SIEMENS.NS,Siemens Ltd.,EQ,INE003A01024,100
SIGNATURE.NS,Signatureglobal (India) Ltd.,EQ,INE903U01023,500
SOBHA.NS,Sobha Ltd.,EQ,INE671H01015,500
SOLARINDS.NS,Solar Industries India Ltd.,EQ,INE343H01029,500
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,EQ,INE073K01018,500
SONATSOFTW.NS,Sonata Software Ltd.,EQ,INE269A01021,500
STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,EQ,INE575P01011,500
SBIN.NS,State Bank of India,EQ,INE062A01020,50
SAIL.NS,Steel Authority of India Ltd.,EQ,INE114A01011,500
SWSOLAR.NS,Sterling and Wilson Renewable Energy Ltd.,EQ,INE00M201021,500
SUMICHEM.NS,Sumitomo Chemical India Ltd.,EQ,INE258G01013,500
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,EQ,INE044A01036,50
SUNTV.NS,Sun TV Network Ltd.,EQ,INE424H01027,500
SUNDARMFIN.NS,Sundaram Finance Ltd.,EQ,INE660A01013,500
SUNDRMFAST.NS,Sundram Fasteners Ltd.,EQ,INE387A01021,500
SUPREMEIND.NS,Supreme Industries Ltd.,EQ,INE195A01028,500
SUVENPHAR.NS,Suven Pharmaceuticals Ltd.,EQ,INE03QK01018,500
SUZLON.NS,Suzlon Energy Ltd.,EQ,INE040H01021,500
SWANENERGY.NS,Swan Energy Ltd.,EQ,INE665A01038,500
SWIGGY.NS,Swiggy Ltd.,EQ,INE00H001014,100
SYNGENE.NS,Syngene International Ltd.,EQ,INE398R01022,500
SYRMA.NS,Syrma SGS Technology Ltd.,EQ,INE0DYJ01015,500
TBOTEK.NS,TBO Tek Ltd.,EQ,INE673O01025,500
TVSMOTOR.NS,TVS Motor Company Ltd.,EQ,INE494B01023,100
TANLA.NS,Tanla Platforms Ltd.,EQ,INE483C01032,500
TATACHEM.NS,Tata Chemicals Ltd.,EQ,INE092A01019,500
TATACOMM.NS,Tata Communications Ltd.,EQ,INE151A01013,500
TCS.NS,Tata Consultancy Services Ltd.,EQ,INE467B01029,50
TATACONSUM.NS,Tata Consumer Products Ltd.,EQ,INE192A01025,50
TATAELXSI.NS,Tata Elxsi Ltd.,EQ,INE670A01012,500
TATAINVEST.NS,Tata Investment Corporation Ltd.,EQ,INE672A01018,500
TATAMOTORS.NS,Tata Motors Ltd.,EQ,INE155A01022,50
TATAPOWER.NS,Tata Power Co. Ltd.,EQ,INE245A01021,100
TATASTEEL.NS,Tata Steel Ltd.,EQ,INE081A01020,50
TATATECH.NS,Tata Technologies Ltd.,EQ,INE142M01025,500
TTML.NS,Tata Teleservices (Maharashtra) Ltd.,EQ,INE517B01013,500
TECHM.NS,Tech Mahindra Ltd.,EQ,INE669C01036,50
TECHNOE.NS,Techno Electric & Engineering Company Ltd.,EQ,INE285K01026,500
TEJASNET.NS,Tejas Networks Ltd.,EQ,INE010J01012,500
NIACL.NS,The New India Assurance Company Ltd.,EQ,INE470Y01017,500
RAMCOCEM.NS,The Ramco Cements Ltd.,EQ,INE331A01037,500
THERMAX.NS,Thermax Ltd.,EQ,INE152A01029,500
TIMKEN.NS,Timken India Ltd.,EQ,INE325A01013,500
TITAGARH.NS,Titagarh Rail Systems Ltd.,EQ,INE615H01020,500
TITAN.NS,Titan Company Ltd.,EQ,INE280A01028,50
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,EQ,INE685A01028,100
TORNTPOWER.NS,Torrent Power Ltd.,EQ,INE813H01021,500
TARIL.NS,Transformers And Rectifiers (India) Ltd.,EQ,INE763I01026,500
TRENT.NS,Trent Ltd.,EQ,INE849A01020,50
TRIDENT.NS,Trident Ltd.,EQ,INE064C01022,500
TRIVENI.NS,Triveni Engineering & Industries Ltd.,EQ,INE256C01024,500
TRITURBINE.NS,Triveni Turbine Ltd.,EQ,INE152M01016,500
TIINDIA.NS,Tube Investments of India Ltd.,EQ,INE974X01010,500
UCOBANK.NS,UCO Bank,EQ,INE691A01018,500
UNOMINDA.NS,UNO Minda Ltd.,EQ,INE405E01023,500
UPL.NS,UPL Ltd.,EQ,INE628A01036,500
UTIAMC.NS,UTI Asset Management Company Ltd.,EQ,INE094J01016,500
ULTRACEMCO.NS,UltraTech Cement Ltd.,EQ,INE481G01011,50
UNIONBANK.NS,Union Bank of India,EQ,INE692A01016,500
UBL.NS,United Breweries Ltd.,EQ,INE686F01025,500
UNITDSPR.NS,United Spirits Ltd.,EQ,INE854D01024,100
USHAMART.NS,Usha Martin Ltd.,EQ,INE228A01035,500
VGUARD.NS,V-Guard Industries Ltd.,EQ,INE951I01027,500
DBREALTY.NS,Valor Estate Ltd.,EQ,INE879I01012,500
VTL.NS,Vardhman Textiles Ltd.,EQ,INE825A01020,500
VBL.NS,Varun Beverages Ltd.,EQ,INE200M01039,100
MANYAVAR.NS,Vedant Fashions Ltd.,EQ,INE825V01034,500
VEDL.NS,Vedanta Ltd.,EQ,INE205A01025,100
VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,EQ,INE043W01024,500
VMM.NS,Vishal Mega Mart Ltd.,EQ,INE01EA01019,500
IDEA.NS,Vodafone Idea Ltd.,EQ,INE669E01016,500
VOLTAS.NS,Voltas Ltd.,EQ,INE226A01021,500
WAAREEENER.NS,Waaree Energies Ltd.,EQ,INE377N01017,500
WELCORP.NS,Welspun Corp Ltd.,EQ,INE191B01025,500
WELSPUNLIV.NS,Welspun Living Ltd.,EQ,INE192B01031,500
WESTLIFE.NS,Westlife Foodworld Ltd.,EQ,INE274F01020,500
WHIRLPOOL.NS,Whirlpool of India Ltd.,EQ,INE716A01013,500
WIPRO.NS,Wipro Ltd.,EQ,INE075A01022,50
WOCKPHARMA.NS,Wockhardt Ltd.,EQ,INE049B01025,500
YESBANK.NS,Yes Bank Ltd.,EQ,INE528G01035,500
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,EQ,INE342J01019,500
ZEEL.NS,Zee Entertainment Enterprises Ltd.,EQ,INE256A01028,500
ZENTEC.NS,Zen Technologies Ltd.,EQ,INE251B01027,500
ZENSARTECH.NS,Zensar Technolgies Ltd.,EQ,INE520A01027,500
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,EQ,INE010B01027,100
ECLERX.NS,eClerx Services Ltd.,EQ,INE738I01010,500
,SBI Contra Fund - Direct Plan - Growth,MF,INF200K01RA0,100
,JM ELSS Tax Saver Fund (Direct) - Growth Option,MF,INF192K01CE3,100
,ITI ELSS Tax Saver Fund - Direct Plan - Growth Option,MF,INF00XX01390,100
,Quantum ELSS Tax Saver Fund - Direct Plan - Growth,MF,INF082J01069,100
,Franklin India ELSS Tax Saver Fund - Direct Plan - Growth,MF,INF090I01JS8,100
,DSP ELSS Tax Saver Fund - Direct Plan - Growth,MF,INF740K01OK1,100
,Baroda BNP Paribas ELSS Tax Saver Fund - Direct Plan - Growth Option,MF,INF251K01HF3,100
,Edelweiss Flexi Cap Fund - Direct Plan - Growth ,MF,INF843K01KK1,100
,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,MF,INF879O01027,100
,JM Flexi Cap Fund - Direct - Growth,MF,INF843K01KK1,100
,Bank of India Flexi Cap Fund - Direct Plan - Growth,MF,INF761K01FF5,100
,Franklin India Flexi Cap Fund - Direct - Growth,MF,INF090I01FK3,100
,Motilal Oswal Flexi Cap Fund - Direct Plan - Growth,MF,INF761K01FF5,100
,HDFC Flexi Cap Fund - Direct Plan - Growth,MF,INF247L01502,100
,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,MF,INF109K018N2,100
,Bandhan Focused Equity Fund - Direct Plan - Growth,MF,INF194K01W21,100
,Mahindra Manulife Focused Fund - Direct Plan - Growth,MF,INF174V01AG7,100
,HSBC Focused Fund - Direct Plan - Growth,MF,INF336L01PB2,100
,HDFC Focused 30 Fund - Direct Plan - Growth,MF,INF179K01VK7,100
,Canara Robeco Focused Equity Fund - Direct Plan - Growth Option,MF,INF760K01JQ6,100
,JM Focused Fund - (Direct) - Growth,MF,INF192K01BW7,100
,Motilal Oswal Large and Midcap Fund - Direct Plan - Growth,MF,INF247L01999,100
,HSBC Large & Midcap Fund - Direct Plan - Growth,MF,INF336L01NV5,100
,DSP Equity Opportunities Fund - Direct Plan - Growth,MF,INF740K01PL6,100
,Nippon India Vision Fund - Direct Plan - Growth,MF,INF204K01F20,100
,Edelweiss Large and Mid Cap Fund - Direct Plan - Growth,MF,INF843K01AL0,100
,Nippon India Large Cap Fund - Direct Plan - Growth,MF,INF204K01XI3,100
,DSP Top 100 Equity Fund - Direct Plan - Growth,MF,INF740K01PR3,100
,Kotak Bluechip Fund - Direct Plan - Growth,MF,INF174K01KW6,100
,Edelweiss Large Cap Fund - Direct Plan - Growth,MF,INF754K01BW4,100
,Baroda BNP Paribas Large Cap Fund - Direct Plan - Growth Option,MF,INF251K01HN7,100
,Bandhan Large Cap Fund - Direct Plan - Growth,MF,INF194K01Z44,100
,ICICI Prudential Bluechip Fund - Direct Plan - Growth,MF,INF109K016L0,100
,JM Large Cap Fund - (Direct) - Growth,MF,INF192K01BZ0,100
,Motilal Oswal Midcap Fund - Direct Plan - Growth,MF,INF247L01445,100
,Kotak Emerging Equity Fund - Direct Plan - Growth,MF,INF174K01LT0,100
,Edelweiss Mid Cap Fund - Direct Plan - Growth Option,MF,INF843K01AO4,100
,LIC MF Mid cap Fund - Direct Plan - Growth,MF,INF397L01JK8,100
,Sundaram Mid Cap Fund - Direct Plan - Growth,MF,INF903J01MJ3,100
,Franklin India Prima Fund - Direct - Growth,MF,INF090I01FH9,100
,Kotak Multicap Fund - Direct Plan - Growth,MF,INF174KA1HV3,100
,Baroda BNP Paribas Multi Cap Fund - Direct Plan - Growth Option,MF,INF955L01AG0,100
,Bank of India Manufacturing & Infrastructure Fund - Direct Plan - Growth,MF,INF761K01702,100
,LIC MF Infrastructure Fund - Direct Plan - Growth,MF,INF767K01GW5,100
,Canara Robeco Infrastructure - Direct Plan - Growth,MF,INF760K01FO9,100
,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,MF,INF740K01QA7,100
,HSBC Business Cycles Fund - Direct Plan - Growth,MF,INF917K01RI2,100
,Aditya Birla Sun Life India GenNext Fund - Direct Plan - Growth,MF,INF209K01WC7,100
,Sundaram Consumption Fund - Direct Plan - Growth,MF,INF903J01NH5,100
,SBI Infrastructure Fund - Direct Plan - Growth,MF,INF200K01RS2,100
,Franklin India Smaller Companies Fund - Direct - Growth,MF,INF090I01IQ4,100
,Nippon India Small Cap Fund - Direct Plan - Growth,MF,INF204K01K15,100
,ITI Small Cap Fund - Direct Plan - Growth Option,MF,INF00XX01747,100
,Edelweiss Small Cap Fund - Direct Plan - Growth,MF,INF754K01JN6,100
,LIC MF Small Cap Fund - Direct Plan - Growth,MF,INF397L01JS1,100
,JM Value Fund - (Direct) - Growth,MF,INF192K01BT3,100
,DSP Value Fund - Direct Plan - Growth,MF,INF740KA1PP3,100
