SYMBOL,NAMEOFCOMPANY,ASSET_TYPE,ISINNUMBER,ASSET_RANK
BLUEDART.NS,Blue Dart Express Ltd.,EQ,INE233B01017,500
BLUESTARCO.NS,Blue Star Ltd.,EQ,INE472A01039,500
BBTC.NS,Bombay Burmah Trading Corporation Ltd.,EQ,INE050A01025,500
BOSCHLTD.NS,Bosch Ltd.,EQ,INE323A01026,100
FIRSTCRY.NS,Brainbees Solutions Ltd.,EQ,INE02RE01045,500
BRIGADE.NS,Brigade Enterprises Ltd.,EQ,INE791I01019,500
BRITANNIA.NS,Britannia Industries Ltd.,EQ,INE216A01030,100
MAPMYINDIA.NS,C.E. Info Systems Ltd.,EQ,INE0BV301023,500
CCL.NS,CCL Products (I) Ltd.,EQ,INE421D01022,500
CESC.NS,CESC Ltd.,EQ,INE486A01021,500
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,EQ,INE067A01029,100
CRISIL.NS,CRISIL Ltd.,EQ,INE007A01025,500
CAMPUS.NS,Campus Activewear Ltd.,EQ,INE278Y01022,500
CANFINHOME.NS,Can Fin Homes Ltd.,EQ,INE477A01020,500
CANBK.NS,Canara Bank,EQ,INE476A01022,100
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,EQ,INE475E01026,500
CGCL.NS,Capri Global Capital Ltd.,EQ,INE180C01042,500
CARBORUNIV.NS,Carborundum Universal Ltd.,EQ,INE120A01034,500
CASTROLIND.NS,Castrol India Ltd.,EQ,INE172A01027,500
CEATLTD.NS,Ceat Ltd.,EQ,INE482A01020,500
CENTRALBK.NS,Central Bank of India,EQ,INE483A01010,500
CDSL.NS,Central Depository Services (India) Ltd.,EQ,INE736A01011,500
CENTURYPLY.NS,Century Plyboards (India) Ltd.,EQ,INE348B01021,500
CERA.NS,Cera Sanitaryware Ltd,EQ,INE739E01017,500
CHALET.NS,Chalet Hotels Ltd.,EQ,INE427F01016,500
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,EQ,INE085A01013,500
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,EQ,INE178A01016,500
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,EQ,INE149A01033,500
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,EQ,INE121A01024,100
CIPLA.NS,Cipla Ltd.,EQ,INE059A01026,50
CUB.NS,City Union Bank Ltd.,EQ,INE491A01021,500
CLEAN.NS,Clean Science and Technology Ltd.,EQ,INE227W01023,500
COALINDIA.NS,Coal India Ltd.,EQ,INE522F01014,50
COCHINSHIP.NS,Cochin Shipyard Ltd.,EQ,INE704P01025,500
COFORGE.NS,Coforge Ltd.,EQ,INE591G01017,500
COLPAL.NS,Colgate Palmolive (India) Ltd.,EQ,INE259A01022,500
CAMS.NS,Computer Age Management Services Ltd.,EQ,INE596I01012,500
CONCORDBIO.NS,Concord Biotech Ltd.,EQ,INE338H01029,500
CONCOR.NS,Container Corporation of India Ltd.,EQ,INE111A01025,500
COROMANDEL.NS,Coromandel International Ltd.,EQ,INE169A01031,500
CRAFTSMAN.NS,Craftsman Automation Ltd.,EQ,INE00LO01017,500
CREDITACC.NS,CreditAccess Grameen Ltd.,EQ,INE741K01010,500
CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,EQ,INE299U01018,500
CUMMINSIND.NS,Cummins India Ltd.,EQ,INE298A01020,500
CYIENT.NS,Cyient Ltd.,EQ,INE136B01020,500
DCMSHRIRAM.NS,DCM Shriram Ltd.,EQ,INE499A01024,500
DLF.NS,DLF Ltd.,EQ,INE271C01023,100
DOMS.NS,DOMS Industries Ltd.,EQ,INE321T01012,500
DABUR.NS,Dabur India Ltd.,EQ,INE016A01026,100
DALBHARAT.NS,Dalmia Bharat Ltd.,EQ,INE00R701025,500
DATAPATTNS.NS,Data Patterns (India) Ltd.,EQ,INE0IX101010,500
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,EQ,INE501A01019,500
DEEPAKNTR.NS,Deepak Nitrite Ltd.,EQ,INE288B01029,500
DELHIVERY.NS,Delhivery Ltd.,EQ,INE148O01028,500
DEVYANI.NS,Devyani International Ltd.,EQ,INE872J01023,500
DIVISLAB.NS,Divi's Laboratories Ltd.,EQ,INE361B01024,100
DIXON.NS,Dixon Technologies (India) Ltd.,EQ,INE935N01020,500
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,EQ,INE600L01024,500
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,EQ,INE089A01031,50
DUMMYSIEMS.NS,Dummy Siemens Ltd.,EQ,DUM003A01024,100
EIDPARRY.NS,E.I.D. Parry (India) Ltd.,EQ,INE126A01031,500
EIHOTEL.NS,EIH Ltd.,EQ,INE230A01023,500
EICHERMOT.NS,Eicher Motors Ltd.,EQ,INE066A01021,50
ELECON.NS,Elecon Engineering Co. Ltd.,EQ,INE205B01031,500
ELGIEQUIP.NS,Elgi Equipments Ltd.,EQ,INE285A01027,500
EMAMILTD.NS,Emami Ltd.,EQ,INE548C01032,500
EMCURE.NS,Emcure Pharmaceuticals Ltd.,EQ,INE168P01015,500
ENDURANCE.NS,Endurance Technologies Ltd.,EQ,INE913H01037,500
ENGINERSIN.NS,Engineers India Ltd.,EQ,INE510A01028,500
ERIS.NS,Eris Lifesciences Ltd.,EQ,INE406M01024,500
ESCORTS.NS,Escorts Kubota Ltd.,EQ,INE042A01014,500
ETERNAL.NS,Eternal Ltd.,EQ,INE758T01015,50
EXIDEIND.NS,Exide Industries Ltd.,EQ,INE302A01020,500
NYKAA.NS,FSN E-Commerce Ventures Ltd.,EQ,INE388Y01029,500
FEDERALBNK.NS,Federal Bank Ltd.,EQ,INE171A01029,500
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,EQ,INE188A01015,500
FINCABLES.NS,Finolex Cables Ltd.,EQ,INE235A01022,500
FINPIPE.NS,Finolex Industries Ltd.,EQ,INE183A01024,500
FSL.NS,Firstsource Solutions Ltd.,EQ,INE684F01012,500
FIVESTAR.NS,Five-Star Business Finance Ltd.,EQ,INE128S01021,500
FORTIS.NS,Fortis Healthcare Ltd.,EQ,INE061F01013,500
GAIL.NS,GAIL (India) Ltd.,EQ,INE129A01019,100
GVT&D.NS,GE Vernova T&D India Ltd.,EQ,INE200A01026,500
GMRAIRPORT.NS,GMR Airports Ltd.,EQ,INE776C01039,500
GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,EQ,INE382Z01011,500
GICRE.NS,General Insurance Corporation of India,EQ,INE481Y01014,500
GILLETTE.NS,Gillette India Ltd.,EQ,INE322A01010,500
GLAND.NS,Gland Pharma Ltd.,EQ,INE068V01023,500
GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,EQ,INE159A01016,500
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,EQ,INE935A01035,500
MEDANTA.NS,Global Health Ltd.,EQ,INE474Q01031,500
GODIGIT.NS,Go Digit General Insurance Ltd.,EQ,INE03JT01014,500
GPIL.NS,Godawari Power & Ispat Ltd.,EQ,INE177H01039,500
GODFRYPHLP.NS,Godfrey Phillips India Ltd.,EQ,INE260B01028,500
GODREJAGRO.NS,Godrej Agrovet Ltd.,EQ,INE850D01014,500
GODREJCP.NS,Godrej Consumer Products Ltd.,EQ,INE102D01028,100
GODREJIND.NS,Godrej Industries Ltd.,EQ,INE233A01035,500
GODREJPROP.NS,Godrej Properties Ltd.,EQ,INE484J01027,500
GRANULES.NS,Granules India Ltd.,EQ,INE101D01020,500
GRAPHITE.NS,Graphite India Ltd.,EQ,INE371A01025,500
GRASIM.NS,Grasim Industries Ltd.,EQ,INE047A01021,50
GRAVITA.NS,Gravita India Ltd.,EQ,INE024L01027,500
GESHIP.NS,Great Eastern Shipping Co. Ltd.,EQ,INE017A01032,500
FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,EQ,INE09N301011,500
GUJGASLTD.NS,Gujarat Gas Ltd.,EQ,INE844O01030,500
GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,EQ,INE131A01031,500
GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,EQ,INE113A01013,500
GPPL.NS,Gujarat Pipavav Port Ltd.,EQ,INE517F01014,500
GSPL.NS,Gujarat State Petronet Ltd.,EQ,INE246F01010,500
HEG.NS,H.E.G. Ltd.,EQ,INE545A01024,500
HBLENGINE.NS,HBL Engineering Ltd.,EQ,INE292B01021,500
HCLTECH.NS,HCL Technologies Ltd.,EQ,INE860A01027,50
HDFCAMC.NS,HDFC Asset Management Company Ltd.,EQ,INE127D01025,500
HDFCBANK.NS,HDFC Bank Ltd.,EQ,INE040A01034,50
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,EQ,INE795G01014,50
HFCL.NS,HFCL Ltd.,EQ,INE548A01028,500
HAPPSTMNDS.NS,Happiest Minds Technologies Ltd.,EQ,INE419U01012,500
HAVELLS.NS,Havells India Ltd.,EQ,INE176B01034,100
HEROMOTOCO.NS,Hero MotoCorp Ltd.,EQ,INE158A01026,50
HSCL.NS,Himadri Speciality Chemical Ltd.,EQ,INE019C01026,500
HINDALCO.NS,Hindalco Industries Ltd.,EQ,INE038A01020,50
HAL.NS,Hindustan Aeronautics Ltd.,EQ,INE066F01020,100
HINDCOPPER.NS,Hindustan Copper Ltd.,EQ,INE531E01026,500
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,EQ,INE094A01015,500
HINDUNILVR.NS,Hindustan Unilever Ltd.,EQ,INE030A01027,50
HINDZINC.NS,Hindustan Zinc Ltd.,EQ,INE267A01025,500
